id,@id,geometry,lat_lon,centroid
way/581443942,way/581443942,"POLYGON ((705595.792822388 3047678.109726375, 705594.6944794895 3047673.5024419003, 705601.2118723339 3047671.9604467032, 705602.3100267778 3047676.578812884, 705595.792822388 3047678.109726375))","[(705595.792822388, 3047678.109726375), (705594.6944794895, 3047673.5024419003), (705601.2118723339, 3047671.9604467032), (705602.3100267778, 3047676.578812884), (705595.792822388, 3047678.109726375)]",POINT (705598.5034931117 3047675.037409015)
way/581443943,way/581443943,"POLYGON ((705591.6447817916 3047680.3565917695, 705589.8232956338 3047674.096704904, 705593.288301729 3047673.101948602, 705595.1099725905 3047679.350755089, 705591.6447817916 3047680.3565917695))","[(705591.6447817916, 3047680.3565917695), (705589.8232956338, 3047674.096704904), (705593.288301729, 3047673.101948602), (705595.1099725905, 3047679.350755089), (705591.6447817916, 3047680.3565917695)]",POINT (705592.4662561846 3047676.727109049)
way/581443944,way/581443944,"POLYGON ((705586.1124225579 3047686.19361549, 705583.3452688374 3047678.587742647, 705588.4052289303 3047676.755228729, 705591.1822578048 3047684.361268877, 705586.1124225579 3047686.19361549))","[(705586.1124225579, 3047686.19361549), (705583.3452688374, 3047678.587742647), (705588.4052289303, 3047676.755228729), (705591.1822578048, 3047684.361268877), (705586.1124225579, 3047686.19361549)]",POINT (705587.261873372 3047681.475482679)
way/581443945,way/581443945,"POLYGON ((705571.4409848107 3047692.0100647225, 705568.9940063765 3047684.1657256647, 705575.0525386492 3047682.294566817, 705577.4997000082 3047690.127826296, 705571.4409848107 3047692.0100647225))","[(705571.4409848107, 3047692.0100647225), (705568.9940063765, 3047684.1657256647), (705575.0525386492, 3047682.294566817), (705577.4997000082, 3047690.127826296), (705571.4409848107, 3047692.0100647225)]",POINT (705573.246271856 3047687.1501044235)
way/581443946,way/581443946,"POLYGON ((705562.2577702435 3047694.6156886634, 705561.4220003379 3047689.081754585, 705567.8009141865 3047688.1359578064, 705568.626803676 3047693.669726496, 705562.2577702435 3047694.6156886634))","[(705562.2577702435, 3047694.6156886634), (705561.4220003379, 3047689.081754585), (705567.8009141865, 3047688.1359578064), (705568.626803676, 3047693.669726496), (705562.2577702435, 3047694.6156886634)]",POINT (705565.0266141933 3047691.375107114)
way/581443947,way/581443947,"POLYGON ((705577.2024895599 3047680.1803789088, 705574.8416500723 3047674.8535807044, 705580.9135960371 3047672.1845933623, 705583.2744336037 3047677.5113928514, 705577.2024895599 3047680.1803789088))","[(705577.2024895599, 3047680.1803789088), (705574.8416500723, 3047674.8535807044), (705580.9135960371, 3047672.1845933623), (705583.2744336037, 3047677.5113928514), (705577.2024895599, 3047680.1803789088)]",POINT (705579.0580422856 3047676.1824862887)
way/581443948,way/581443948,"POLYGON ((705569.3057591523 3047680.901150383, 705565.2732841485 3047670.9796073297, 705569.6800127599 3047669.213697336, 705573.7126712446 3047679.1241610185, 705569.3057591523 3047680.901150383))","[(705569.3057591523, 3047680.901150383), (705565.2732841485, 3047670.9796073297), (705569.6800127599, 3047669.213697336), (705573.7126712446, 3047679.1241610185), (705569.3057591523, 3047680.901150383)]",POINT (705569.492888842 3047675.055550571)
way/581443949,way/581443949,"POLYGON ((705561.5833078625 3047683.010369921, 705560.2721216164 3047678.720952172, 705564.4033973311 3047677.471365256, 705565.7145823423 3047681.760783522, 705561.5833078625 3047683.010369921))","[(705561.5833078625, 3047683.010369921), (705560.2721216164, 3047678.720952172), (705564.4033973311, 3047677.471365256), (705565.7145823423, 3047681.760783522), (705561.5833078625, 3047683.010369921)]",POINT (705562.9933522649 3047680.240867604)
way/581443950,way/581443950,"POLYGON ((705553.8027786356 3047677.4040742368, 705552.5113075088 3047670.765156588, 705556.6349505733 3047669.9698873754, 705557.9163557345 3047676.6197205894, 705553.8027786356 3047677.4040742368))","[(705553.8027786356, 3047677.4040742368), (705552.5113075088, 3047670.765156588), (705556.6349505733, 3047669.9698873754), (705557.9163557345, 3047676.6197205894), (705553.8027786356, 3047677.4040742368)]",POINT (705555.2164899663 3047673.688045125)
way/581443951,way/581443951,"POLYGON ((705545.6696342053 3047672.20197139, 705544.5772589579 3047669.002475726, 705552.0397204357 3047666.489848238, 705553.1320940733 3047669.689344665, 705545.6696342053 3047672.20197139))","[(705545.6696342053, 3047672.20197139), (705544.5772589579, 3047669.002475726), (705552.0397204357, 3047666.489848238), (705553.1320940733, 3047669.689344665), (705545.6696342053, 3047672.20197139)]",POINT (705548.854676936 3047669.345909932)
way/581443952,way/581443952,"POLYGON ((705548.4984616472 3047677.314944256, 705547.4815526566 3047673.1523983334, 705551.7971531058 3047672.1054183976, 705552.823938464 3047676.2681307374, 705548.4984616472 3047677.314944256))","[(705548.4984616472, 3047677.314944256), (705547.4815526566, 3047673.1523983334), (705551.7971531058, 3047672.1054183976), (705552.823938464, 3047676.2681307374), (705548.4984616472, 3047677.314944256)]",POINT (705550.1506683908 3047674.710917635)
